Subregion,Year,Population,Yes Vs No,Religion,Religion %,Birth Rate,Fertility Rate
Eastern Africa,1970,56100,No Religion,Agnostic,0.1,49.2,7.06
Middle Africa,1970,34400,No Religion,Agnostic,0.1,47.05,6.47
Northern Africa,1970,228000,No Religion,Agnostic,0.3,44.26,6.62
Southern Africa,1970,151000,No Religion,Agnostic,0.6,39.88,5.71
Western Africa,1970,119000,No Religion,Agnostic,0.1,48.22,6.71
Eastern Asia,1970,416136000,No Religion,Agnostic,41.8,35.52,5.37
South-central Asia,1970,11429000,No Religion,Agnostic,1.5,74.44,10.95
South-eastern Asia,1970,5676000,No Religion,Agnostic,2,38.43,5.61
Western Asia,1970,3905000,No Religion,Agnostic,4.4,40.53,5.96
Eastern Europe,1970,58326000,No Religion,Agnostic,21.1,15.66,2.14
Northern Europe,1970,7930000,No Religion,Agnostic,9.1,15.89,2.34
Southern Europe,1970,9261000,No Religion,Agnostic,7.3,18.46,2.61
Western Europe,1970,12023000,No Religion,Agnostic,7.3,15.04,2.23
Caribbean,1970,2786000,No Religion,Agnostic,10.9,33.64,4.68
Central America,1970,890000,No Religion,Agnostic,1.3,44.12,6.46
South America,1970,2365000,No Religion,Agnostic,1.2,34.36,4.8
Northern America,1970,11349000,No Religion,Agnostic,5.1,18.54,2.49
Australia/New Zealand,1970,646000,No Religion,Agnostic,4.2,20.7,2.91
Melanesia,1970,8900,No Religion,Agnostic,0.3,42.3,6.03
Micronesia,1970,1300,No Religion,Agnostic,0.5,36.97,5.73
Polynesia,1970,2500,No Religion,Agnostic,0.6,39.22,6.32
Eastern Africa,2010,854000,No Religion,Agnostic,0.3,38.79,5.21
Middle Africa,2010,727000,No Religion,Agnostic,0.6,43.59,6.2
Northern Africa,2010,1267000,No Religion,Agnostic,0.6,27.26,3.32
Southern Africa,2010,2765000,No Religion,Agnostic,4.8,23.1,2.55
Western Africa,2010,884000,No Religion,Agnostic,0.3,41.31,5.72
Eastern Asia,2010,467232000,No Religion,Agnostic,29.7,12.65,1.66
South-central Asia,2010,17302000,No Religion,Agnostic,1,47.44,5.46
South-eastern Asia,2010,17126000,No Religion,Agnostic,2.9,19.83,2.38
Western Asia,2010,3102000,No Religion,Agnostic,1.3,23.64,2.96
Eastern Europe,2010,23612000,No Religion,Agnostic,8,11.76,1.53
Northern Europe,2010,17568000,No Religion,Agnostic,17.7,12.64,1.89
Southern Europe,2010,13262000,No Religion,Agnostic,8.5,9.99,1.45
Western Europe,2010,38882000,No Religion,Agnostic,20.6,10.38,1.68
Caribbean,2010,2804000,No Religion,Agnostic,6.7,18.35,2.33
Central America,2010,3772000,No Religion,Agnostic,2.4,21.34,2.46
South America,2010,12136000,No Religion,Agnostic,3.1,17.13,2.05
Northern America,2010,48119000,No Religion,Agnostic,14,12.62,1.89
Australia/New Zealand,2010,5433000,No Religion,Agnostic,20.4,13.78,1.98
Melanesia,2010,74600,No Religion,Agnostic,0.9,29.75,3.75
Micronesia,2010,6600,No Religion,Agnostic,1.2,25,3.29
Polynesia,2010,14800,No Religion,Agnostic,2.2,23.46,3.14
Eastern Africa,2020,1094000,No Religion,Agnostic,0.2,33.86,4.34
Middle Africa,2020,1074000,No Religion,Agnostic,0.6,40.32,5.69
Northern Africa,2020,1611000,No Religion,Agnostic,0.7,23.37,3.07
Southern Africa,2020,3274000,No Religion,Agnostic,4.8,20.35,2.35
Western Africa,2020,1163000,No Religion,Agnostic,0.3,33.92,4.65
Eastern Asia,2020,505861000,No Religion,Agnostic,30.1,8.17,1.23
South-central Asia,2020,19517000,No Religion,Agnostic,0.1,43.66,5.38
South-eastern Asia,2020,18834000,No Religion,Agnostic,2.8,15.73,2.02
Western Asia,2020,3308000,No Religion,Agnostic,1.2,19.98,2.62
Eastern Europe,2020,22370000,No Religion,Agnostic,7.6,9.49,1.46
Northern Europe,2020,20628000,No Religion,Agnostic,19.4,10.18,1.58
Southern Europe,2020,14073000,No Religion,Agnostic,9.2,7.51,1.3
Western Europe,2020,44300000,No Religion,Agnostic,22.6,9.82,1.61
Caribbean,2020,2804000,No Religion,Agnostic,6.4,15.44,2.05
Central America,2020,4780000,No Religion,Agnostic,2.7,17.45,2.07
South America,2020,15009000,No Religion,Agnostic,3.5,13.84,1.76
Northern America,2020,64155000,No Religion,Agnostic,17.4,10.6,1.6
Australia/New Zealand,2020,8160000,No Religion,Agnostic,26.9,11.44,1.6
Melanesia,2020,97800,No Religion,Agnostic,0.9,25.49,3.21
Micronesia,2020,7200,No Religion,Agnostic,1.3,21.71,2.94
Polynesia,2020,15700,No Religion,Agnostic,2.3,18.96,2.63
Eastern Africa,1970,6200,No Religion,Atheist,0,49.2,7.06
Middle Africa,1970,4500,No Religion,Atheist,0,47.05,6.47
Northern Africa,1970,66200,No Religion,Atheist,0.1,44.26,6.62
Southern Africa,1970,5100,No Religion,Atheist,0,39.88,5.71
Western Africa,1970,21000,No Religion,Atheist,0,48.22,6.71
Eastern Asia,1970,99021000,No Religion,Atheist,9.9,35.52,5.37
South-central Asia,1970,6856000,No Religion,Atheist,0.9,74.44,10.95
South-eastern Asia,1970,1424000,No Religion,Atheist,0.5,38.43,5.61
Western Asia,1970,2157000,No Religion,Atheist,2.4,40.53,5.96
Eastern Europe,1970,44888000,No Religion,Atheist,16.3,15.66,2.14
Northern Europe,1970,2224000,No Religion,Atheist,2.5,15.89,2.34
Southern Europe,1970,2979000,No Religion,Atheist,2.3,18.46,2.61
Western Europe,1970,3725000,No Religion,Atheist,2.3,15.04,2.23
Caribbean,1970,504000,No Religion,Atheist,2,33.64,4.68
Central America,1970,32100,No Religion,Atheist,0,44.12,6.46
South America,1970,729000,No Religion,Atheist,0.4,34.36,4.8
